size,index,param,interval,interval_time,total_time
1000000,both,true,100000,1970,19762
1000000,both,true,100000,1968,19745
1000000,both,true,100000,2001,20081
1000000,both,true,100000,1934,19403
1000000,both,true,100000,1896,19023
1000000,both,true,100000,1917,19237
1000000,both,true,100000,1909,19155
1000000,both,true,100000,1907,19136
1000000,both,true,100000,1893,18998
1000000,both,true,100000,1897,19039
1000000,both,true,100000,1917,19234
1000000,both,true,100000,1902,19091
1000000,both,true,100000,1888,18950
1000000,both,true,100000,1896,19028
1000000,both,true,100000,1900,19070
1000000,both,true,100000,1897,19038
1000000,both,true,100000,1908,19145
1000000,both,true,100000,1897,19038
1000000,both,true,100000,1902,19088
1000000,both,true,100000,1920,19264
1000000,both,true,100000,1886,18925
1000000,both,true,100000,1896,19025
1000000,both,true,100000,1903,19096
1000000,both,true,100000,1913,19192
1000000,both,true,100000,1888,18950
1000000,both,true,100000,1896,19020
1000000,both,true,100000,1923,19292
1000000,both,true,100000,1897,19035
1000000,both,true,100000,1893,18999
1000000,both,true,100000,1899,19053
10000000,both,true,100000,13450,1345665
10000000,both,true,100000,13262,1326911
