size,index,param,interval,interval_time,total_time
1000000,both,true,20000,184,9281
1000000,both,true,20000,175,8845
1000000,both,true,20000,173,8766
1000000,both,true,20000,172,8671
1000000,both,true,20000,168,8510
1000000,both,true,20000,172,8698
1000000,both,true,20000,170,8570
1000000,both,true,20000,168,8502
1000000,both,true,20000,168,8518
1000000,both,true,20000,170,8572
1000000,time,true,20000,1287,64459
1000000,time,true,20000,1259,63047
1000000,time,true,20000,1264,63306
1000000,time,true,20000,1267,63456
