size,index,time
1000000, true, 23451
1000000, true, 21716
1000000, true, 22133
1000000, true, 22040
1000000, true, 22041
1000000, true, 22141
1000000, true, 22208
1000000, true, 21733
1000000, true, 21996
1000000, true, 21983
1000000, true, 22210
1000000, true, 22016
1000000, true, 22141
1000000, true, 22316
1000000, true, 22116
1000000, true, 21907
1000000, true, 22191
1000000, true, 22075
1000000, true, 22349
1000000, true, 22141
1000000, true, 22083
1000000, true, 22124
1000000, true, 22158
1000000, true, 22358
1000000, true, 21524
1000000, true, 21791
1000000, true, 22133
1000000, true, 21899
1000000, true, 22141
1000000, true, 22199
10000000, true, 226078
10000000, true, 232516
10000000, true, 237293
10000000, true, 236284
10000000, true, 239502
10000000, true, 243400
10000000, true, 245035
10000000, true, 241336
10000000, true, 244026
10000000, true, 245542
