size,  config,      imean,       ierror,        tmean,       terror
1000000, noindex_noparam_all, 1.0142667, 0.0118092173, 1.0142667, 0.011809217
1000000, noindex_noparam_interval, 0.2995000, 0.0003846014, 3.1824000, 0.004051319
1000000, noindex_param_all, 6.0066333, 0.0298549804, 6.0066333, 0.029854980
1000000, noindex_param_interval, 1.8752000, 0.0009178625, 19.3248333, 0.009190684
1000000, index_noparam_all, 0.9998333, 0.0052474381, 0.9998333, 0.005247438
1000000, index_noparam_interval, 0.1754667, 0.0003482503, 1.7636000, 0.003058965
1000000, index_param_all, 5.9735333, 0.0147048304, 5.9735333, 0.014704830
1000000, index_param_interval, 1.7510000, 0.0008915069, 17.9015667, 0.008820305
10000000, noindex_noparam_all, 12.6094000, 1.3350917691, 12.6094000, 1.335091769
10000000, noindex_noparam_interval, 2.1476250, 0.0019577753, 216.6983750, 0.220007263
10000000, noindex_param_all, 75.1261000, 3.7247771297, 75.1261000, 3.724777130
10000000, noindex_param_interval, 15.6916000, 0.9338809717, 1575.8656000, 93.359010308
